z t r theta phi
0.000000e+00 4.236925e+03 4.145617e+01 1.570796e+00 4.824090e+00
1.000000e-08 4.236925e+03 4.145620e+01 1.570796e+00 4.824090e+00
2.000000e-08 4.236925e+03 4.145624e+01 1.570796e+00 4.824090e+00
3.000000e-08 4.236925e+03 4.145628e+01 1.570796e+00 4.824090e+00
4.000000e-08 4.236925e+03 4.145631e+01 1.570796e+00 4.824090e+00
5.000000e-08 4.236924e+03 4.145635e+01 1.570796e+00 4.824090e+00
6.000000e-08 4.236924e+03 4.145639e+01 1.570796e+00 4.824090e+00
7.000000e-08 4.236924e+03 4.145642e+01 1.570796e+00 4.824090e+00
8.000000e-08 4.236924e+03 4.145646e+01 1.570796e+00 4.824090e+00
9.000000e-08 4.236924e+03 4.145650e+01 1.570796e+00 4.824090e+00
1.000000e-07 4.236924e+03 4.145653e+01 1.570796e+00 4.824090e+00
1.100000e-07 4.236924e+03 4.145657e+01 1.570796e+00 4.824090e+00
1.200000e-07 4.236924e+03 4.145661e+01 1.570796e+00 4.824090e+00
1.300000e-07 4.236924e+03 4.145664e+01 1.570796e+00 4.824090e+00
1.400000e-07 4.236924e+03 4.145668e+01 1.570796e+00 4.824090e+00
1.500000e-07 4.236924e+03 4.145672e+01 1.570796e+00 4.824090e+00
1.600000e-07 4.236924e+03 4.145675e+01 1.570796e+00 4.824090e+00
1.700000e-07 4.236924e+03 4.145679e+01 1.570796e+00 4.824090e+00
1.800000e-07 4.236924e+03 4.145683e+01 1.570796e+00 4.824090e+00
1.900000e-07 4.236924e+03 4.145686e+01 1.570796e+00 4.824090e+00
2.000000e-07 4.236924e+03 4.145690e+01 1.570796e+00 4.824090e+00
2.100000e-07 4.236924e+03 4.145694e+01 1.570796e+00 4.824090e+00
2.200000e-07 4.236924e+03 4.145697e+01 1.570796e+00 4.824090e+00
2.300000e-07 4.236924e+03 4.145701e+01 1.570796e+00 4.824090e+00
2.400000e-07 4.236924e+03 4.145705e+01 1.570796e+00 4.824090e+00
2.500000e-07 4.236924e+03 4.145708e+01 1.570796e+00 4.824090e+00
2.600000e-07 4.236924e+03 4.145712e+01 1.570796e+00 4.824090e+00
2.700000e-07 4.236924e+03 4.145716e+01 1.570796e+00 4.824090e+00
2.800000e-07 4.236924e+03 4.145719e+01 1.570796e+00 4.824090e+00
2.900000e-07 4.236924e+03 4.145723e+01 1.570796e+00 4.824090e+00
3.000000e-07 4.236924e+03 4.145727e+01 1.570796e+00 4.824090e+00
3.100000e-07 4.236924e+03 4.145730e+01 1.570796e+00 4.824090e+00
3.200000e-07 4.236923e+03 4.145734e+01 1.570796e+00 4.824090e+00
3.300000e-07 4.236923e+03 4.145738e+01 1.570796e+00 4.824090e+00
3.400000e-07 4.236923e+03 4.145741e+01 1.570796e+00 4.824090e+00
3.500000e-07 4.236923e+03 4.145745e+01 1.570796e+00 4.824090e+00
3.600000e-07 4.236923e+03 4.145749e+01 1.570796e+00 4.824090e+00
3.700000e-07 4.236923e+03 4.145752e+01 1.570796e+00 4.824090e+00
3.800000e-07 4.236923e+03 4.145756e+01 1.570796e+00 4.824090e+00
3.900000e-07 4.236923e+03 4.145760e+01 1.570796e+00 4.824090e+00
4.000000e-07 4.236923e+03 4.145763e+01 1.570796e+00 4.824090e+00
4.100000e-07 4.236923e+03 4.145767e+01 1.570796e+00 4.824090e+00
4.200000e-07 4.236923e+03 4.145771e+01 1.570796e+00 4.824090e+00
4.300000e-07 4.236923e+03 4.145774e+01 1.570796e+00 4.824090e+00
4.400000e-07 4.236923e+03 4.145778e+01 1.570796e+00 4.824090e+00
4.500000e-07 4.236923e+03 4.145782e+01 1.570796e+00 4.824090e+00
4.600000e-07 4.236923e+03 4.145785e+01 1.570796e+00 4.824090e+00
4.700000e-07 4.236923e+03 4.145789e+01 1.570796e+00 4.824090e+00
4.800000e-07 4.236923e+03 4.145793e+01 1.570796e+00 4.824090e+00
4.900000e-07 4.236923e+03 4.145796e+01 1.570796e+00 4.824090e+00
5.000000e-07 4.236923e+03 4.145800e+01 1.570796e+00 4.824090e+00
5.100000e-07 4.236923e+03 4.145804e+01 1.570796e+00 4.824090e+00
5.200000e-07 4.236923e+03 4.145807e+01 1.570796e+00 4.824090e+00
5.300000e-07 4.236923e+03 4.145811e+01 1.570796e+00 4.824090e+00
5.400000e-07 4.236923e+03 4.145815e+01 1.570796e+00 4.824090e+00
5.500000e-07 4.236923e+03 4.145818e+01 1.570796e+00 4.824090e+00
5.600000e-07 4.236923e+03 4.145822e+01 1.570796e+00 4.824090e+00
5.700000e-07 4.236923e+03 4.145826e+01 1.570796e+00 4.824090e+00
5.800000e-07 4.236923e+03 4.145829e+01 1.570796e+00 4.824090e+00
5.900000e-07 4.236922e+03 4.145833e+01 1.570796e+00 4.824090e+00
6.000000e-07 4.236922e+03 4.145837e+01 1.570796e+00 4.824090e+00
6.100000e-07 4.236922e+03 4.145840e+01 1.570796e+00 4.824090e+00
6.200000e-07 4.236922e+03 4.145844e+01 1.570796e+00 4.824090e+00
6.300000e-07 4.236922e+03 4.145848e+01 1.570796e+00 4.824090e+00
6.400000e-07 4.236922e+03 4.145852e+01 1.570796e+00 4.824090e+00
6.500000e-07 4.236922e+03 4.145855e+01 1.570796e+00 4.824090e+00
6.600000e-07 4.236922e+03 4.145859e+01 1.570796e+00 4.824090e+00
6.700000e-07 4.236922e+03 4.145863e+01 1.570796e+00 4.824090e+00
6.800000e-07 4.236922e+03 4.145866e+01 1.570796e+00 4.824090e+00
6.900000e-07 4.236922e+03 4.145870e+01 1.570796e+00 4.824090e+00
7.000000e-07 4.236922e+03 4.145874e+01 1.570796e+00 4.824090e+00
7.100000e-07 4.236922e+03 4.145877e+01 1.570796e+00 4.824090e+00
7.200000e-07 4.236922e+03 4.145881e+01 1.570796e+00 4.824090e+00
7.300000e-07 4.236922e+03 4.145885e+01 1.570796e+00 4.824090e+00
7.400000e-07 4.236922e+03 4.145888e+01 1.570796e+00 4.824090e+00
